machine_id,timestamp,temp_c,rpm,vibration,failure
M034,2024-03-01T00:00:00,50.4,73.14,32.57,0
M008,2024-03-01T00:05:00,54.66,79.88,30.38,0
M025,2024-03-01T00:10:00,52.53,78.22,26.84,0
M000,2024-03-01T00:15:00,47.84,64.76,29.98,0
M035,2024-03-01T00:20:00,48.09,73.23,29.12,0
M021,2024-03-01T00:25:00,48.36,79.15,33.53,0
M055,2024-03-01T00:30:00,50.28,83.35,30.67,0
M049,2024-03-01T00:35:00,51.64,77.94,30.18,0
M038,2024-03-01T00:40:00,55.1,78.19,36.17,0
M051,2024-03-01T00:45:00,52.46,78.34,29.57,0
M032,2024-03-01T00:50:00,51.45,90.51,29.7,0
M036,2024-03-01T00:55:00,44.39,81.9,28.13,0
M005,2024-03-01T01:00:00,54.22,81.09,30.56,0
M009,2024-03-01T01:05:00,46.91,72.65,29.15,0
M014,2024-03-01T01:10:00,49.46,82.45,30.38,0
M001,2024-03-01T01:15:00,51.57,75.46,29.15,0
M059,2024-03-01T01:20:00,52.22,75.85,29.43,0
M004,2024-03-01T01:25:00,44.27,78.93,30.96,0
M042,2024-03-01T01:30:00,49.79,83.86,31.01,0
M006,2024-03-01T01:35:00,58.04,74.44,31.02,0
M034,2024-03-01T01:40:00,48.79,83.79,29.63,0
M024,2024-03-01T01:45:00,58.41,82.61,31.39,0
M024,2024-03-01T01:50:00,53.68,82.43,30.06,0
M047,2024-03-01T01:55:00,47.87,75.56,30.67,0
M052,2024-03-01T02:00:00,51.43,77.23,26.05,0
M016,2024-03-01T02:05:00,47.6,76.24,31.57,0
M003,2024-03-01T02:10:00,52.04,80.73,29.67,0
M026,2024-03-01T02:15:00,49.18,87.3,29.85,0
M055,2024-03-01T02:20:00,50.78,88.12,24.0,0
M008,2024-03-01T02:25:00,53.21,80.81,29.85,0
M004,2024-03-01T02:30:00,49.26,78.16,31.11,0
M056,2024-03-01T02:35:00,50.31,78.31,29.92,0
M020,2024-03-01T02:40:00,54.06,78.86,31.01,0
M059,2024-03-01T02:45:00,47.59,85.36,30.21,0
M014,2024-03-01T02:50:00,49.57,76.03,28.15,0
M049,2024-03-01T02:55:00,47.8,76.03,31.92,0
M010,2024-03-01T03:00:00,50.32,72.06,31.18,0
M000,2024-03-01T03:05:00,52.66,85.79,32.16,0
M015,2024-03-01T03:10:00,50.82,79.78,31.81,0
M056,2024-03-01T03:15:00,51.64,76.99,31.8,0
M042,2024-03-01T03:20:00,51.68,81.22,30.77,0
M016,2024-03-01T03:25:00,44.82,76.47,31.73,0
M017,2024-03-01T03:30:00,54.69,81.98,28.9,0
M005,2024-03-01T03:35:00,46.43,86.79,31.18,0
M001,2024-03-01T03:40:00,56.66,85.0,28.2,0
M001,2024-03-01T03:45:00,54.2,78.24,32.93,0
M048,2024-03-01T03:50:00,48.61,81.15,33.25,0
M007,2024-03-01T03:55:00,53.07,74.11,27.94,0
M054,2024-03-01T04:00:00,50.03,79.98,31.18,0
M055,2024-03-01T04:05:00,52.76,84.67,33.0,0
M010,2024-03-01T04:10:00,53.48,72.46,30.12,0
M051,2024-03-01T04:15:00,54.83,75.53,33.49,0
M047,2024-03-01T04:20:00,49.41,80.35,28.82,0
M045,2024-03-01T04:25:00,49.06,87.02,27.63,0
M039,2024-03-01T04:30:00,57.31,74.03,34.11,0
M010,2024-03-01T04:35:00,54.99,80.93,29.87,0
M041,2024-03-01T04:40:00,53.62,80.19,28.46,0
M029,2024-03-01T04:45:00,47.2,81.21,29.43,0
M020,2024-03-01T04:50:00,51.67,83.25,31.02,0
M053,2024-03-01T04:55:00,51.42,79.71,28.57,0
M042,2024-03-01T05:00:00,51.95,72.39,30.05,0
M014,2024-03-01T05:05:00,49.22,90.94,31.03,0
M016,2024-03-01T05:10:00,59.76,80.7,32.51,0
M013,2024-03-01T05:15:00,48.82,82.98,33.03,0
M048,2024-03-01T05:20:00,50.78,90.34,30.23,0
M052,2024-03-01T05:25:00,51.91,75.09,33.85,0
M041,2024-03-01T05:30:00,48.73,79.35,28.04,0
M044,2024-03-01T05:35:00,48.96,88.41,28.9,0
M024,2024-03-01T05:40:00,54.48,80.1,30.1,0
M046,2024-03-01T05:45:00,50.86,84.06,30.7,0
M014,2024-03-01T05:50:00,50.69,75.44,25.12,0
M056,2024-03-01T05:55:00,54.02,86.99,25.44,0
M009,2024-03-01T06:00:00,53.72,76.93,27.21,0
M025,2024-03-01T06:05:00,51.79,82.46,31.63,0
M053,2024-03-01T06:10:00,47.89,83.05,30.57,0
M039,2024-03-01T06:15:00,51.68,77.51,28.29,0
M042,2024-03-01T06:20:00,49.43,86.69,34.38,0
M046,2024-03-01T06:25:00,51.8,79.87,31.04,0
M019,2024-03-01T06:30:00,48.62,91.63,29.82,0
M048,2024-03-01T06:35:00,49.91,75.94,29.58,0
M000,2024-03-01T06:40:00,53.2,77.08,30.71,0
M005,2024-03-01T06:45:00,56.09,78.01,27.4,0
M055,2024-03-01T06:50:00,49.6,74.51,30.98,0
M051,2024-03-01T06:55:00,55.82,81.15,31.32,0
M035,2024-03-01T07:00:00,46.84,70.9,32.69,0
M009,2024-03-01T07:05:00,51.03,74.03,32.17,0
M016,2024-03-01T07:10:00,50.05,74.63,31.61,0
M046,2024-03-01T07:15:00,55.21,83.2,29.63,0
M015,2024-03-01T07:20:00,54.16,78.05,27.46,0
M010,2024-03-01T07:25:00,51.99,80.94,30.65,0
M006,2024-03-01T07:30:00,44.43,73.67,31.76,0
M003,2024-03-01T07:35:00,49.0,89.04,31.83,0
M035,2024-03-01T07:40:00,55.67,80.4,29.38,0
M005,2024-03-01T07:45:00,52.11,78.69,30.22,0
M010,2024-03-01T07:50:00,53.23,83.56,26.28,0
M047,2024-03-01T07:55:00,54.59,83.36,31.62,0
M053,2024-03-01T08:00:00,57.35,80.83,30.26,0
M054,2024-03-01T08:05:00,52.12,76.17,31.79,0
M039,2024-03-01T08:10:00,51.81,87.79,29.26,0
M032,2024-03-01T08:15:00,54.5,78.8,29.62,0
M042,2024-03-01T08:20:00,54.63,78.64,33.24,0
M052,2024-03-01T08:25:00,52.22,77.84,31.35,0
M001,2024-03-01T08:30:00,44.48,77.6,29.37,0
M010,2024-03-01T08:35:00,47.68,80.28,29.98,0
M011,2024-03-01T08:40:00,55.83,76.87,30.0,0
M018,2024-03-01T08:45:00,56.6,79.34,32.32,0
M016,2024-03-01T08:50:00,50.17,74.18,27.63,0
M024,2024-03-01T08:55:00,54.45,73.06,31.71,0
M036,2024-03-01T09:00:00,57.35,80.41,28.59,0
M033,2024-03-01T09:05:00,58.09,76.78,31.45,0
M018,2024-03-01T09:10:00,48.19,78.94,30.51,0
M019,2024-03-01T09:15:00,53.53,78.41,32.13,0
M058,2024-03-01T09:20:00,51.65,81.0,28.11,0
M058,2024-03-01T09:25:00,49.97,84.61,30.02,0
M008,2024-03-01T09:30:00,50.89,83.62,30.43,0
M001,2024-03-01T09:35:00,53.28,82.45,32.62,0
M014,2024-03-01T09:40:00,51.31,74.49,30.19,0
M049,2024-03-01T09:45:00,55.46,82.16,33.47,0
M034,2024-03-01T09:50:00,56.53,80.1,32.27,0
M003,2024-03-01T09:55:00,54.24,82.14,32.32,0
M044,2024-03-01T10:00:00,57.32,94.86,28.8,0
M000,2024-03-01T10:05:00,53.01,86.85,29.9,0
M055,2024-03-01T10:10:00,49.96,71.93,32.56,0
M017,2024-03-01T10:15:00,52.29,71.56,29.59,0
M003,2024-03-01T10:20:00,48.13,80.51,31.99,0
M034,2024-03-01T10:25:00,55.05,81.71,32.49,0
M054,2024-03-01T10:30:00,49.79,74.14,27.12,0
M009,2024-03-01T10:35:00,51.23,82.87,31.57,0
M026,2024-03-01T10:40:00,56.13,83.04,32.98,0
M027,2024-03-01T10:45:00,47.84,80.59,33.1,0
M000,2024-03-01T10:50:00,53.09,83.72,32.27,0
M047,2024-03-01T10:55:00,48.37,86.34,31.4,0
M058,2024-03-01T11:00:00,53.91,82.34,29.18,0
M004,2024-03-01T11:05:00,49.05,70.35,30.43,0
M047,2024-03-01T11:10:00,53.94,74.67,31.31,0
M016,2024-03-01T11:15:00,54.59,81.28,27.83,0
M005,2024-03-01T11:20:00,52.68,79.59,29.53,0
M032,2024-03-01T11:25:00,50.09,82.59,29.52,0
M040,2024-03-01T11:30:00,54.17,82.5,32.94,0
M026,2024-03-01T11:35:00,51.72,83.93,32.94,0
M029,2024-03-01T11:40:00,51.72,84.11,30.78,0
M015,2024-03-01T11:45:00,54.48,67.1,29.07,0
M013,2024-03-01T11:50:00,57.17,82.08,29.23,0
M039,2024-03-01T11:55:00,52.96,78.23,31.53,0
M042,2024-03-01T12:00:00,49.02,78.04,33.86,0
M056,2024-03-01T12:05:00,55.67,71.09,29.23,0
M031,2024-03-01T12:10:00,51.95,83.75,32.36,0
M012,2024-03-01T12:15:00,48.8,73.65,32.5,0
M052,2024-03-01T12:20:00,49.21,79.78,29.41,0
M036,2024-03-01T12:25:00,54.43,79.9,29.65,0
M004,2024-03-01T12:30:00,52.68,73.79,25.3,0
M057,2024-03-01T12:35:00,59.91,79.13,32.71,0
M041,2024-03-01T12:40:00,50.38,79.31,30.75,0
M011,2024-03-01T12:45:00,55.31,83.43,28.64,0
M022,2024-03-01T12:50:00,57.54,74.85,30.13,0
M006,2024-03-01T12:55:00,54.1,79.03,30.56,0
M046,2024-03-01T13:00:00,51.66,74.54,27.58,0
M034,2024-03-01T13:05:00,50.84,76.7,28.62,0
M058,2024-03-01T13:10:00,48.5,80.92,29.63,0
M015,2024-03-01T13:15:00,53.68,79.49,28.35,0
M059,2024-03-01T13:20:00,50.31,76.52,28.92,0
M041,2024-03-01T13:25:00,51.55,81.25,27.81,0
M051,2024-03-01T13:30:00,54.73,89.78,29.94,0
M040,2024-03-01T13:35:00,54.03,80.63,29.74,0
M006,2024-03-01T13:40:00,55.78,80.81,29.85,0
M010,2024-03-01T13:45:00,55.01,79.11,30.8,0
M029,2024-03-01T13:50:00,54.53,66.21,33.24,0
M031,2024-03-01T13:55:00,51.5,83.77,29.06,0
M057,2024-03-01T14:00:00,53.73,74.31,31.15,0
M056,2024-03-01T14:05:00,50.28,79.03,33.45,0
M047,2024-03-01T14:10:00,52.15,80.82,30.85,0
M007,2024-03-01T14:15:00,50.4,84.0,33.06,0
M045,2024-03-01T14:20:00,54.63,88.75,26.13,0
M057,2024-03-01T14:25:00,52.79,87.69,32.27,0
M009,2024-03-01T14:30:00,50.07,79.19,30.52,0
M002,2024-03-01T14:35:00,53.97,85.16,29.55,0
M051,2024-03-01T14:40:00,48.64,87.04,30.5,0
M007,2024-03-01T14:45:00,57.94,72.39,28.82,0
M009,2024-03-01T14:50:00,51.71,76.22,28.99,0
M059,2024-03-01T14:55:00,56.73,81.21,28.37,0
M057,2024-03-01T15:00:00,51.48,81.06,27.92,0
M007,2024-03-01T15:05:00,53.15,83.19,31.26,0
M018,2024-03-01T15:10:00,50.97,87.11,30.34,0
M048,2024-03-01T15:15:00,55.45,79.41,28.8,0
M011,2024-03-01T15:20:00,52.55,80.75,31.8,0
M043,2024-03-01T15:25:00,52.59,81.04,30.37,0
M051,2024-03-01T15:30:00,54.53,74.98,25.82,0
M037,2024-03-01T15:35:00,55.28,78.93,30.65,0
M020,2024-03-01T15:40:00,53.91,84.62,30.49,0
M000,2024-03-01T15:45:00,59.7,80.35,34.5,0
M026,2024-03-01T15:50:00,54.73,89.71,29.37,0
M030,2024-03-01T15:55:00,51.4,77.96,29.5,0
M000,2024-03-01T16:00:00,50.42,74.02,27.4,0
M003,2024-03-01T16:05:00,51.7,73.91,30.41,0
M004,2024-03-01T16:10:00,52.7,79.72,29.36,0
M014,2024-03-01T16:15:00,55.24,76.41,29.38,0
M037,2024-03-01T16:20:00,54.99,79.81,26.93,0
M012,2024-03-01T16:25:00,51.35,86.2,29.91,0
M031,2024-03-01T16:30:00,56.39,83.49,31.28,0
M043,2024-03-01T16:35:00,53.23,75.19,29.33,0
M022,2024-03-01T16:40:00,49.44,78.69,31.74,0
M034,2024-03-01T16:45:00,53.95,77.74,30.04,0
M007,2024-03-01T16:50:00,53.55,85.49,30.1,0
M016,2024-03-01T16:55:00,54.02,83.77,28.89,0
M038,2024-03-01T17:00:00,48.81,75.74,29.35,0
M001,2024-03-01T17:05:00,55.55,77.12,30.85,0
M025,2024-03-01T17:10:00,53.04,81.03,29.62,0
M043,2024-03-01T17:15:00,53.33,77.91,28.34,0
M039,2024-03-01T17:20:00,57.94,74.52,30.89,0
M020,2024-03-01T17:25:00,48.39,82.71,33.56,0
M040,2024-03-01T17:30:00,49.41,73.25,31.62,0
M003,2024-03-01T17:35:00,58.41,76.47,32.97,0
M020,2024-03-01T17:40:00,52.53,89.26,29.11,0
M034,2024-03-01T17:45:00,51.19,81.12,29.93,0
M009,2024-03-01T17:50:00,54.23,79.42,29.35,0
M022,2024-03-01T17:55:00,57.1,76.74,29.08,0
M053,2024-03-01T18:00:00,53.92,72.27,28.7,0
M002,2024-03-01T18:05:00,54.35,93.35,31.77,0
M057,2024-03-01T18:10:00,55.71,78.65,29.43,0
M057,2024-03-01T18:15:00,53.09,89.53,31.0,0
M016,2024-03-01T18:20:00,58.23,78.6,32.09,0
M012,2024-03-01T18:25:00,49.88,90.23,26.35,0
M034,2024-03-01T18:30:00,49.2,79.53,33.88,0
M009,2024-03-01T18:35:00,54.97,76.81,28.48,0
M019,2024-03-01T18:40:00,53.54,77.12,27.82,0
M006,2024-03-01T18:45:00,52.04,83.57,28.26,0
M007,2024-03-01T18:50:00,55.92,76.5,29.44,0
M005,2024-03-01T18:55:00,55.39,89.03,30.99,0
M016,2024-03-01T19:00:00,51.12,81.6,34.73,0
M038,2024-03-01T19:05:00,57.98,80.51,30.62,0
M029,2024-03-01T19:10:00,55.55,81.01,30.32,0
M027,2024-03-01T19:15:00,57.07,77.48,32.26,0
M059,2024-03-01T19:20:00,55.46,84.78,31.77,0
M024,2024-03-01T19:25:00,55.93,72.08,27.0,0
M044,2024-03-01T19:30:00,51.91,78.59,30.13,0
M022,2024-03-01T19:35:00,56.39,81.97,27.39,0
M012,2024-03-01T19:40:00,53.54,79.15,32.12,0
M049,2024-03-01T19:45:00,54.63,94.37,32.26,0
M047,2024-03-01T19:50:00,56.9,81.45,31.06,0
M035,2024-03-01T19:55:00,53.71,75.32,32.63,0
M044,2024-03-01T20:00:00,54.56,73.34,28.78,0
M054,2024-03-01T20:05:00,53.6,80.58,29.32,0
M000,2024-03-01T20:10:00,58.8,73.33,27.94,0
M033,2024-03-01T20:15:00,52.24,80.63,30.94,0
M050,2024-03-01T20:20:00,55.38,73.42,27.49,0
M049,2024-03-01T20:25:00,56.71,74.37,32.96,0
M007,2024-03-01T20:30:00,54.36,83.56,29.03,0
M013,2024-03-01T20:35:00,54.41,82.67,30.47,0
M034,2024-03-01T20:40:00,55.1,77.07,30.76,0
M024,2024-03-01T20:45:00,53.34,85.02,29.85,0
M033,2024-03-01T20:50:00,43.26,87.26,28.64,0
M056,2024-03-01T20:55:00,53.72,77.92,31.06,0
M003,2024-03-01T21:00:00,47.25,82.82,29.16,0
M024,2024-03-01T21:05:00,54.19,76.8,29.05,0
M049,2024-03-01T21:10:00,49.26,79.4,29.97,0
M025,2024-03-01T21:15:00,56.95,82.34,28.18,0
M008,2024-03-01T21:20:00,49.17,75.38,29.85,0
M040,2024-03-01T21:25:00,53.01,74.22,29.54,0
M054,2024-03-01T21:30:00,56.77,79.79,28.89,0
M034,2024-03-01T21:35:00,51.69,83.44,28.26,0
M015,2024-03-01T21:40:00,46.42,80.6,33.2,0
M041,2024-03-01T21:45:00,49.7,79.16,29.56,0
M010,2024-03-01T21:50:00,50.27,82.87,29.65,0
M027,2024-03-01T21:55:00,51.07,68.19,26.36,0
M006,2024-03-01T22:00:00,50.21,77.16,28.97,0
M017,2024-03-01T22:05:00,51.01,77.25,30.86,0
M031,2024-03-01T22:10:00,52.37,79.13,29.1,0
M016,2024-03-01T22:15:00,49.17,83.18,31.14,0
M015,2024-03-01T22:20:00,54.84,82.1,28.65,0
M004,2024-03-01T22:25:00,50.9,91.43,29.67,0
M039,2024-03-01T22:30:00,47.83,79.09,28.48,0
M021,2024-03-01T22:35:00,52.45,83.25,34.91,0
